Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2026-04-23,2026-04-28 16:35 CEST,BIS,"https://data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.N.JP?","https://data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.N.JP?&file_format=csv&format=wide&split_frequencies=false&transposed=false&include=label",https://data.bis.org/topics/EER

Dataflow ID,"BIS,WS_EER,1.0"
Timeseries Key,M.R.N.JP
Frequency,Monthly
Type,Real
Basket,Narrow (27 economies)
Reference area,Japan
Unit,"Index, 2020 = 100"
Unit multiplier
Period
1964-01-31,57.07
1964-02-29,56.63
1964-03-31,56.62
1964-04-30,57.16
1964-05-31,60.33
1964-06-30,60.21
1964-07-31,60.17
1964-08-31,60.64
1964-09-30,61.16
1964-10-31,61.88
1964-11-30,61.51
1964-12-31,61.76
1965-01-31,62.86
1965-02-28,62.37
1965-03-31,62.52
1965-04-30,63.25
1965-05-31,62.78
1965-06-30,62.52
1965-07-31,62.15
1965-08-31,62.26
1965-09-30,63.14
1965-10-31,63.76
1965-11-30,63.35
1965-12-31,63.43
1966-01-31,63.94
1966-02-28,64.01
1966-03-31,63.74
1966-04-30,64.31
1966-05-31,63.6
1966-06-30,63.3
1966-07-31,63.36
1966-08-31,62.65
1966-09-30,63.41
1966-10-31,63.55
1966-11-30,62.86
1966-12-31,63.5
1967-01-31,63.96
1967-02-28,63.99
1967-03-31,64.13
1967-04-30,64.14
1967-05-31,63.23
1967-06-30,62.81
1967-07-31,62.61
1967-08-31,62.75
1967-09-30,63.66
1967-10-31,64.62
1967-11-30,64.42
1967-12-31,65.6
1968-01-31,65.85
1968-02-29,65.92
1968-03-31,65.75
1968-04-30,65.6
1968-05-31,65.5
1968-06-30,64.86
1968-07-31,64.86
1968-08-31,65.18
1968-09-30,66.78
1968-10-31,66.55
1968-11-30,66.7
1968-12-31,66.26
1969-01-31,66.27
1969-02-28,66.01
1969-03-31,66.31
1969-04-30,66.42
1969-05-31,66.5
1969-06-30,66.21
1969-07-31,66.61
1969-08-31,67.12
1969-09-30,67.81
1969-10-31,66.92
1969-11-30,66.86
1969-12-31,67.06
1970-01-31,68.25
1970-02-28,67.85
1970-03-31,68.1
1970-04-30,68.17
1970-05-31,67.7
1970-06-30,67.58
1970-07-31,67.13
1970-08-31,66.83
1970-09-30,67.47
1970-10-31,68.27
1970-11-30,68.14
1970-12-31,68.21
1971-01-31,68.14
1971-02-28,67.98
1971-03-31,67.91
1971-04-30,68.62
1971-05-31,68.49
1971-06-30,68.46
1971-07-31,68.71
1971-08-31,68.37
1971-09-30,73.13
1971-10-31,74.46
1971-11-30,74.15
1971-12-31,75.16
1972-01-31,76.11
1972-02-29,77.54
1972-03-31,78.47
1972-04-30,79.04
1972-05-31,78.71
1972-06-30,79.0
1972-07-31,79.32
1972-08-31,79.36
1972-09-30,79.55
1972-10-31,80.19
1972-11-30,80.02
1972-12-31,80.26
1973-01-31,80.45
1973-02-28,85.22
1973-03-31,90.46
1973-04-30,90.37
1973-05-31,90.7
1973-06-30,88.83
1973-07-31,87.4
1973-08-31,87.74
1973-09-30,89.52
1973-10-31,88.12
1973-11-30,85.61
1973-12-31,87.94
1974-01-31,86.28
1974-02-28,88.1
1974-03-31,89.25
1974-04-30,91.44
1974-05-31,90.03
1974-06-30,89.31
1974-07-31,87.56
1974-08-31,84.63
1974-09-30,86.05
1974-10-31,86.83
1974-11-30,85.81
1974-12-31,85.8
1975-01-31,85.58
1975-02-28,86.76
1975-03-31,87.75
1975-04-30,87.86
1975-05-31,87.48
1975-06-30,86.32
1975-07-31,86.78
1975-08-31,86.81
1975-09-30,88.04
1975-10-31,87.82
1975-11-30,86.98
1975-12-31,86.16
1976-01-31,87.36
1976-02-29,88.41
1976-03-31,89.19
1976-04-30,91.62
1976-05-31,91.54
1976-06-30,91.53
1976-07-31,92.98
1976-08-31,92.88
1976-09-30,96.23
1976-10-31,95.1
1976-11-30,93.45
1976-12-31,93.96
1977-01-31,94.89
1977-02-28,96.72
1977-03-31,98.06
1977-04-30,100.5
1977-05-31,99.98
1977-06-30,100.39
1977-07-31,101.92
1977-08-31,100.71
1977-09-30,102.05
1977-10-31,106.66
1977-11-30,108.98
1977-12-31,108.82
1978-01-31,107.22
1978-02-28,107.07
1978-03-31,110.76
1978-04-30,116.45
1978-05-31,114.95
1978-06-30,119.07
1978-07-31,125.71
1978-08-31,131.37
1978-09-30,130.54
1978-10-31,131.92
1978-11-30,126.22
1978-12-31,122.59
1979-01-31,120.2
1979-02-28,116.96
1979-03-31,113.39
1979-04-30,108.7
1979-05-31,107.84
1979-06-30,106.22
1979-07-31,105.54
1979-08-31,102.93
1979-09-30,100.7
1979-10-31,97.89
1979-11-30,91.04
1979-12-31,91.65
1980-01-31,92.28
1980-02-29,89.79
1980-03-31,89.36
1980-04-30,89.91
1980-05-31,96.57
1980-06-30,99.83
1980-07-31,97.63
1980-08-31,95.9
1980-09-30,100.55
1980-10-31,103.24
1980-11-30,102.21
1980-12-31,103.66
1981-01-31,107.41
1981-02-28,106.84
1981-03-31,104.67
1981-04-30,102.7
1981-05-31,102.19
1981-06-30,101.23
1981-07-31,97.67
1981-08-31,97.25
1981-09-30,98.07
1981-10-31,96.16
1981-11-30,98.35
1981-12-31,100.62
1982-01-31,98.02
1982-02-28,94.46
1982-03-31,93.17
1982-04-30,92.86
1982-05-31,94.21
1982-06-30,89.96
1982-07-31,88.4
1982-08-31,87.95
1982-09-30,87.9
1982-10-31,85.81
1982-11-30,87.68
1982-12-31,94.49
1983-01-31,97.86
1983-02-28,96.39
1983-03-31,96.54
1983-04-30,96.87
1983-05-31,98.54
1983-06-30,96.74
1983-07-31,96.28
1983-08-31,95.23
1983-09-30,96.7
1983-10-31,100.42
1983-11-30,99.51
1983-12-31,100.36
1984-01-31,101.21
1984-02-29,100.14
1984-03-31,102.36
1984-04-30,102.98
1984-05-31,102.24
1984-06-30,100.18
1984-07-31,97.95
1984-08-31,97.22
1984-09-30,98.83
1984-10-31,99.2
1984-11-30,99.21
1984-12-31,98.93
1985-01-31,97.43
1985-02-28,95.78
1985-03-31,96.82
1985-04-30,97.24
1985-05-31,97.22
1985-06-30,97.49
1985-07-31,98.78
1985-08-31,99.26
1985-09-30,100.02
1985-10-31,108.34
1985-11-30,112.47
1985-12-31,112.2
1986-01-31,112.78
1986-02-28,120.5
1986-03-31,123.26
1986-04-30,126.03
1986-05-31,131.31
1986-06-30,130.12
1986-07-31,136.09
1986-08-31,138.26
1986-09-30,137.26
1986-10-31,135.56
1986-11-30,129.68
1986-12-31,128.83
1987-01-31,130.92
1987-02-28,130.56
1987-03-31,131.78
1987-04-30,138.95
1987-05-31,139.78
1987-06-30,135.67
1987-07-31,130.06
1987-08-31,131.85
1987-09-30,135.19
1987-10-31,134.42
1987-11-30,138.42
1987-12-31,143.45
1988-01-31,143.61
1988-02-29,141.93
1988-03-31,142.83
1988-04-30,144.56
1988-05-31,144.77
1988-06-30,142.59
1988-07-31,138.08
1988-08-31,138.13
1988-09-30,137.76
1988-10-31,142.28
1988-11-30,145.18
1988-12-31,143.52
1989-01-31,140.29
1989-02-28,138.97
1989-03-31,136.81
1989-04-30,136.44
1989-05-31,132.01
1989-06-30,127.61
1989-07-31,128.14
1989-08-31,127.55
1989-09-30,125.28
1989-10-31,126.76
1989-11-30,123.61
1989-12-31,121.79
1990-01-31,118.93
1990-02-28,117.66
1990-03-31,112.58
1990-04-30,108.95
1990-05-31,111.81
1990-06-30,111.1
1990-07-31,112.51
1990-08-31,111.47
1990-09-30,118.29
1990-10-31,125.98
1990-11-30,125.75
1990-12-31,121.68
1991-01-31,121.78
1991-02-28,122.95
1991-03-31,120.8
1991-04-30,123.18
1991-05-31,122.85
1991-06-30,122.19
1991-07-31,123.43
1991-08-31,123.13
1991-09-30,123.91
1991-10-31,128.52
1991-11-30,127.48
1991-12-31,126.98
1992-01-31,129.55
1992-02-29,127.56
1992-03-31,123.95
1992-04-30,123.85
1992-05-31,125.15
1992-06-30,127.31
1992-07-31,125.1
1992-08-31,124.0
1992-09-30,128.51
1992-10-31,132.39
1992-11-30,132.88
1992-12-31,132.91
1993-01-31,131.98
1993-02-28,137.55
1993-03-31,141.75
1993-04-30,146.37
1993-05-31,148.69
1993-06-30,154.14
1993-07-31,156.11
1993-08-31,162.44
1993-09-30,158.02
1993-10-31,155.51
1993-11-30,154.65
1993-12-31,151.31
1994-01-31,149.28
1994-02-28,155.38
1994-03-31,156.84
1994-04-30,159.48
1994-05-31,157.71
1994-06-30,157.51
1994-07-31,161.02
1994-08-31,158.65
1994-09-30,159.64
1994-10-31,159.69
1994-11-30,160.42
1994-12-31,157.92
1995-01-31,157.53
1995-02-28,158.25
1995-03-31,168.4
1995-04-30,179.53
1995-05-31,177.73
1995-06-30,177.82
1995-07-31,171.08
1995-08-31,159.45
1995-09-30,151.3
1995-10-31,148.76
1995-11-30,147.0
1995-12-31,147.73
1996-01-31,142.31
1996-02-29,141.36
1996-03-31,140.85
1996-04-30,139.69
1996-05-31,141.39
1996-06-30,137.62
1996-07-31,136.65
1996-08-31,137.32
1996-09-30,135.43
1996-10-31,132.77
1996-11-30,131.52
1996-12-31,130.62
1997-01-31,126.97
1997-02-28,122.78
1997-03-31,124.01
1997-04-30,123.51
1997-05-31,130.69
1997-06-30,135.73
1997-07-31,135.11
1997-08-31,133.67
1997-09-30,130.45
1997-10-31,130.45
1997-11-30,126.37
1997-12-31,126.94
1998-01-31,129.37
1998-02-28,131.61
1998-03-31,127.47
1998-04-30,123.66
1998-05-31,121.39
1998-06-30,117.14
1998-07-31,115.48
1998-08-31,112.69
1998-09-30,120.7
1998-10-31,132.88
1998-11-30,133.45
1998-12-31,135.75
1999-01-31,139.77
1999-02-28,136.0
1999-03-31,134.44
1999-04-30,134.41
1999-05-31,131.65
1999-06-30,133.27
1999-07-31,134.28
1999-08-31,140.63
1999-09-30,149.07
1999-10-31,149.58
1999-11-30,151.66
1999-12-31,154.66
2000-01-31,149.9
2000-02-29,144.19
2000-03-31,148.94
2000-04-30,150.87
2000-05-31,149.61
2000-06-30,149.9
2000-07-31,147.09
2000-08-31,148.6
2000-09-30,151.41
2000-10-31,150.34
2000-11-30,149.77
2000-12-31,144.23
2001-01-31,136.92
2001-02-28,137.64
2001-03-31,132.5
2001-04-30,130.63
2001-05-31,132.69
2001-06-30,133.02
2001-07-31,130.35
2001-08-31,131.83
2001-09-30,134.06
2001-10-31,131.81
2001-11-30,130.81
2001-12-31,125.98
2002-01-31,120.98
2002-02-28,119.57
2002-03-31,121.4
2002-04-30,120.76
2002-05-31,123.04
2002-06-30,123.64
2002-07-31,126.46
2002-08-31,126.69
2002-09-30,124.78
2002-10-31,121.51
2002-11-30,122.64
2002-12-31,121.35
2003-01-31,121.83
2003-02-28,120.08
2003-03-31,120.99
2003-04-30,119.84
2003-05-31,119.62
2003-06-30,117.7
2003-07-31,118.09
2003-08-31,118.8
2003-09-30,121.76
2003-10-31,125.62
2003-11-30,125.51
2003-12-31,125.13
2004-01-31,124.63
2004-02-29,123.49
2004-03-31,122.26
2004-04-30,123.41
2004-05-31,119.16
2004-06-30,121.34
2004-07-31,120.56
2004-08-31,119.59
2004-09-30,119.88
2004-10-31,120.15
2004-11-30,121.81
2004-12-31,120.44
2005-01-31,121.44
2005-02-28,118.59
2005-03-31,116.99
2005-04-30,115.28
2005-05-31,116.63
2005-06-30,115.6
2005-07-31,112.85
2005-08-31,112.73
2005-09-30,112.28
2005-10-31,109.53
2005-11-30,107.02
2005-12-31,106.33
2006-01-31,107.32
2006-02-28,105.02
2006-03-31,105.45
2006-04-30,104.1
2006-05-31,106.86
2006-06-30,104.93
2006-07-31,103.38
2006-08-31,103.38
2006-09-30,102.72
2006-10-31,101.71
2006-11-30,101.27
2006-12-31,100.08
2007-01-31,98.1
2007-02-28,96.97
2007-03-31,99.21
2007-04-30,96.52
2007-05-31,94.88
2007-06-30,93.16
2007-07-31,92.78
2007-08-31,97.75
2007-09-30,98.07
2007-10-31,95.48
2007-11-30,98.25
2007-12-31,97.86
2008-01-31,101.53
2008-02-29,101.01
2008-03-31,105.3
2008-04-30,102.38
2008-05-31,101.87
2008-06-30,99.14
2008-07-31,98.38
2008-08-31,99.37
2008-09-30,105.06
2008-10-31,118.89
2008-11-30,126.6
2008-12-31,132.61
2009-01-31,133.81
2009-02-28,133.1
2009-03-31,125.5
2009-04-30,121.26
2009-05-31,119.96
2009-06-30,117.99
2009-07-31,120.26
2009-08-31,118.48
2009-09-30,121.62
2009-10-31,120.69
2009-11-30,121.41
2009-12-31,121.1
2010-01-31,119.38
2010-02-28,122.75
2010-03-31,121.62
2010-04-30,117.13
2010-05-31,122.65
2010-06-30,125.92
2010-07-31,127.83
2010-08-31,129.76
2010-09-30,129.98
2010-10-31,130.27
2010-11-30,129.11
2010-12-31,128.52
2011-01-31,127.74
2011-02-28,126.1
2011-03-31,125.92
2011-04-30,120.66
2011-05-31,123.62
2011-06-30,124.48
2011-07-31,125.77
2011-08-31,129.67
2011-09-30,133.34
2011-10-31,134.87
2011-11-30,132.83
2011-12-31,133.64
2012-01-31,135.63
2012-02-29,130.94
2012-03-31,124.45
2012-04-30,126.19
2012-05-31,130.24
2012-06-30,131.77
2012-07-31,131.97
2012-08-31,131.23
2012-09-30,129.68
2012-10-31,127.54
2012-11-30,124.47
2012-12-31,119.31
2013-01-31,111.84
2013-02-28,106.61
2013-03-31,105.88
2013-04-30,102.88
2013-05-31,99.97
2013-06-30,103.73
2013-07-31,101.94
2013-08-31,103.27
2013-09-30,101.15
2013-10-31,101.69
2013-11-30,99.91
2013-12-31,96.2
2014-01-31,96.26
2014-02-28,97.83
2014-03-31,96.82
2014-04-30,97.94
2014-05-31,98.75
2014-06-30,98.44
2014-07-31,99.07
2014-08-31,98.75
2014-09-30,96.08
2014-10-31,96.39
2014-11-30,90.62
2014-12-31,89.49
2015-01-31,92.34
2015-02-28,92.47
2015-03-31,92.54
2015-04-30,92.97
2015-05-31,90.86
2015-06-30,88.59
2015-07-31,90.13
2015-08-31,91.0
2015-09-30,93.52
2015-10-31,92.92
2015-11-30,92.31
2015-12-31,93.18
2016-01-31,96.88
2016-02-29,98.97
2016-03-31,99.23
2016-04-30,100.88
2016-05-31,102.12
2016-06-30,105.24
2016-07-31,106.96
2016-08-31,108.91
2016-09-30,108.14
2016-10-31,107.55
2016-11-30,104.62
2016-12-31,98.42
2017-01-31,98.72
2017-02-28,99.15
2017-03-31,98.56
2017-04-30,100.88
2017-05-31,98.03
2017-06-30,98.37
2017-07-31,95.96
2017-08-31,97.34
2017-09-30,96.08
2017-10-31,94.94
2017-11-30,95.18
2017-12-31,94.74
2018-01-31,95.01
2018-02-28,96.81
2018-03-31,98.02
2018-04-30,96.41
2018-05-31,96.22
2018-06-30,96.47
2018-07-31,95.63
2018-08-31,96.81
2018-09-30,95.53
2018-10-31,95.63
2018-11-30,95.78
2018-12-31,96.61
2019-01-31,99.38
2019-02-28,97.8
2019-03-31,96.92
2019-04-30,96.59
2019-05-31,98.76
2019-06-30,99.82
2019-07-31,99.91
2019-08-31,102.98
2019-09-30,101.74
2019-10-31,100.76
2019-11-30,99.95
2019-12-31,99.25
2020-01-31,98.92
2020-02-29,99.18
2020-03-31,102.16
2020-04-30,102.91
2020-05-31,103.06
2020-06-30,100.21
2020-07-31,100.07
2020-08-31,99.24
2020-09-30,99.29
2020-10-31,98.93
2020-11-30,98.67
2020-12-31,97.36
2021-01-31,97.32
2021-02-28,95.7
2021-03-31,93.52
2021-04-30,91.61
2021-05-31,90.67
2021-06-30,89.88
2021-07-31,90.87
2021-08-31,91.08
2021-09-30,90.94
2021-10-31,88.39
2021-11-30,87.99
2021-12-31,88.19
2022-01-31,87.09
2022-02-28,86.67
2022-03-31,84.68
2022-04-30,80.2
2022-05-31,79.69
2022-06-30,76.07
2022-07-31,76.12
2022-08-31,77.21
2022-09-30,74.73
2022-10-31,73.28
2022-11-30,74.01
2022-12-31,76.4
2023-01-31,78.1
2023-02-28,76.13
2023-03-31,76.05
2023-04-30,75.54
2023-05-31,73.71
2023-06-30,71.32
2023-07-31,71.07
2023-08-31,69.9
2023-09-30,69.27
2023-10-31,69.43
2023-11-30,68.35
2023-12-31,70.17
2024-01-31,69.25
2024-02-29,67.76
2024-03-31,67.55
2024-04-30,66.75
2024-05-31,65.69
2024-06-30,65.03
2024-07-31,65.12
2024-08-31,69.64
2024-09-30,70.36
2024-10-31,68.34
2024-11-30,68.09
2024-12-31,68.93
2025-01-31,68.67
2025-02-28,69.9
2025-03-31,70.24
2025-04-30,71.39
2025-05-31,69.82
2025-06-30,68.7
2025-07-31,67.3
2025-08-31,67.41
2025-09-30,66.96
2025-10-31,66.25
2025-11-30,65.58
2025-12-31,64.69
2026-01-31,64.12
2026-02-28,63.73
2026-03-31,63.12
